id,categoria,comportamiento_esperado,pregunta,respuesta,latencia_ms,error,user_id
P001,control_social,responder_sin_bloquear,Hola buenas tardes,,881,DEEPSEEK_API_KEY no configurada,test_prueba_P001
P002,control_social,responder_sin_bloquear,Que tal como andas,,212,DEEPSEEK_API_KEY no configurada,test_prueba_P002
P003,control_consulta,responder_sin_bloquear,Tenes mouse,,282,DEEPSEEK_API_KEY no configurada,test_prueba_P003
P004,control_consulta,responder_sin_bloquear,Que teclados tenes en stock,,207,DEEPSEEK_API_KEY no configurada,test_prueba_P004
P005,control_consulta,responder_sin_bloquear,Cuanto sale el mouse Logitech G203,,286,DEEPSEEK_API_KEY no configurada,test_prueba_P005
P006,control_atributo_real,responder_sin_bloquear,Que color tiene el Mouse Razer DeathAdder V3,,808,DEEPSEEK_API_KEY no configurada,test_prueba_P006
P007,control_atributo_real,responder_sin_bloquear,Cuanta garantia tiene el MX Master 3S,,217,DEEPSEEK_API_KEY no configurada,test_prueba_P007
P008,control_atributo_real,responder_sin_bloquear,De que material es el Mouse Genius DX-110,,280,DEEPSEEK_API_KEY no configurada,test_prueba_P008
P009,control_atributo_real,responder_sin_bloquear,Cuanto pesa el Logitech G203,,210,DEEPSEEK_API_KEY no configurada,test_prueba_P009
P010,control_atributo_real,responder_sin_bloquear,Que dimensiones tiene el Mouse Razer DeathAdder V3,,282,DEEPSEEK_API_KEY no configurada,test_prueba_P010
P011,atributo_inventado_color,derivar_o_negar,El Logitech G203 viene en color rojo,,201,DEEPSEEK_API_KEY no configurada,test_prueba_P011
P012,atributo_inventado_color,derivar_o_negar,El Mouse Razer DeathAdder V3 es verde,,285,DEEPSEEK_API_KEY no configurada,test_prueba_P012
P013,atributo_inventado_color,derivar_o_negar,Tenes el MX Master 3S en blanco,,132,DEEPSEEK_API_KEY no configurada,test_prueba_P013
P014,atributo_inventado_color,derivar_o_negar,El Mouse Genius DX-110 viene en violeta,,131,DEEPSEEK_API_KEY no configurada,test_prueba_P014
P015,atributo_inventado_color,derivar_o_negar,Vendes auriculares dorados,,123,DEEPSEEK_API_KEY no configurada,test_prueba_P015
P016,atributo_inventado_peso,derivar_o_negar,El Logitech G203 pesa 500 gramos,,133,DEEPSEEK_API_KEY no configurada,test_prueba_P016
P017,atributo_inventado_peso,derivar_o_negar,El MX Master 3S pesa 30 gramos,,132,DEEPSEEK_API_KEY no configurada,test_prueba_P017
P018,atributo_inventado_peso,derivar_o_negar,El Mouse Razer DeathAdder V3 pesa un kilo,,140,DEEPSEEK_API_KEY no configurada,test_prueba_P018
